Date,Open,High,Low,Close,Adj Close,Volume
2023-12-12,45.980000,47.099998,45.570000,47.080002,46.874226,71449700
2023-12-13,47.380001,49.070000,47.099998,48.740002,48.526970,115040700
2023-12-14,49.250000,49.730000,47.549999,48.660000,48.447315,101348900
2023-12-15,48.939999,49.790001,48.700001,49.240002,49.024784,78130400
2023-12-18,49.490002,50.599998,49.369999,50.270000,50.050282,58218000
2023-12-19,50.419998,51.060001,50.360001,51.020000,50.797001,60174800
2023-12-20,50.480000,51.270000,48.459999,48.540001,48.540001,88082500
2023-12-21,49.889999,50.270000,48.939999,50.150002,50.150002,74544700
2023-12-22,50.599998,50.939999,49.639999,50.349998,50.349998,66114200
2023-12-26,50.639999,51.509998,50.619999,51.270000,51.270000,43685600
2023-12-27,51.349998,51.660000,51.020000,51.540001,51.540001,55747800
2023-12-28,51.919998,52.009998,51.270000,51.410000,51.410000,42884100
2023-12-29,51.380001,51.520000,50.000000,50.700001,50.700001,66986200
2024-01-02,49.349998,49.430000,47.270000,48.130001,48.130001,88135300
2024-01-03,47.169998,47.540001,46.430000,46.590000,46.590000,83906100
2024-01-04,45.869999,46.970001,45.730000,45.810001,45.810001,71867700
2024-01-05,45.860001,46.919998,45.470001,45.980000,45.980000,85039900
2024-01-08,46.389999,48.900002,46.330002,48.750000,48.750000,67687100
2024-01-09,47.660000,49.410000,47.610001,49.070000,49.070000,74215800
2024-01-10,49.169998,50.410000,48.840000,50.040001,50.040001,73810500
2024-01-11,50.450001,50.970001,48.400002,50.279999,50.279999,95114200
2024-01-12,50.669998,50.980000,49.840000,50.340000,50.340000,63970500
2024-01-16,49.880001,50.910000,49.330002,50.310001,50.310001,72937000
2024-01-17,49.070000,49.590000,47.869999,49.439999,49.439999,83277300
2024-01-18,50.590000,51.720001,50.110001,51.560001,51.560001,91070400
2024-01-19,52.320000,54.619999,52.099998,54.540001,54.540001,92896900
2024-01-22,55.410000,55.919998,54.509998,54.759998,54.759998,74828300
2024-01-23,55.009998,55.480000,54.279999,55.410000,55.410000,56086000
2024-01-24,56.950001,57.900002,56.119999,56.320000,56.320000,89859300
2024-01-25,57.259998,57.529999,55.520000,56.480000,56.480000,75697600
2024-01-26,55.680000,56.389999,55.180000,55.439999,55.439999,64191300
2024-01-29,55.610001,57.200001,55.340000,57.070000,57.070000,57988600
2024-01-30,56.689999,56.919998,55.599998,55.930000,55.930000,59777200
2024-01-31,54.189999,54.980000,52.580002,52.639999,52.639999,101725800
2024-02-01,53.290001,54.639999,52.910000,54.500000,54.500000,81130700
2024-02-02,55.180000,57.680000,54.790001,57.240002,57.240002,99147300
2024-02-05,57.189999,57.419998,55.570000,56.950001,56.950001,69399406
